date,opponent,player,stat_line,prop,odds,book,implied_prob,actual,result
2026-09-24,San Diego Padres,Andy Pages,"0-for-3, BB",1+ RBIs,+181,draftkings,0.356,0,missed
2026-09-24,San Diego Padres,Andy Pages,"0-for-3, BB",1+ Runs,+126,draftkings,0.442,0,missed
2026-09-24,San Diego Padres,Andy Pages,"0-for-3, BB",2+ H+R+RBI,-106,draftkings,0.515,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ Hits,+104,draftkings,0.49,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ Singles,+176,draftkings,0.362,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ Total Bases,-102,betonlineag,0.505,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ RBIs,+343,draftkings,0.226,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ Runs,+201,draftkings,0.332,0,missed
2026-09-24,San Diego Padres,Hunter Feduccia,0-for-4,1+ H+R+RBI,-126,draftkings,0.558,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",1+ Hits,-159,draftkings,0.614,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",1+ Singles,+114,draftkings,0.467,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",1+ Total Bases,-135,betmgm,0.574,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",2+ Home Runs,+8000,betrivers,0.012,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",1+ RBIs,+260,draftkings,0.278,0,missed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",1+ Runs,+150,draftkings,0.4,1,cashed
2026-09-24,San Diego Padres,Tommy Edman,"0-for-4, R",2+ H+R+RBI,+119,draftkings,0.457,1,missed
